instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,recency,frequency,monetary
177,2011-06-26,fall,2011,June,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.68,0.637629,0.513333,0.0945333,1920,3385,5305,554,1,17957425
178,2011-06-27,fall,2011,June,non holiday,monday,working day,"Mist, Cloudy",0.6825,0.637004,0.658333,0.107588,854,3854,4708,553,1,18144632
179,2011-06-28,fall,2011,June,non holiday,tuesday,working day,"Clear, Partly cloudy",0.744167,0.692558,0.634167,0.144283,732,3916,4648,552,1,18201568
180,2011-06-29,fall,2011,June,non holiday,wednesday,working day,"Clear, Partly cloudy",0.728333,0.654688,0.497917,0.261821,848,4377,5225,551,1,22869825
181,2011-06-30,fall,2011,June,non holiday,thursday,working day,"Clear, Partly cloudy",0.696667,0.637008,0.434167,0.185312,1027,4488,5515,550,1,24751320
182,2011-07-01,fall,2011,July,non holiday,friday,working day,"Clear, Partly cloudy",0.7225,0.652162,0.39625,0.102608,1246,4116,5362,549,1,22069992
183,2011-07-02,fall,2011,July,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.738333,0.667308,0.444583,0.115062,2204,2915,5119,548,2,14921885
184,2011-07-03,fall,2011,July,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.716667,0.668575,0.6825,0.228858,2282,2367,4649,547,2,11004183
185,2011-07-04,fall,2011,July,holiday,monday,weekend/holiday,"Mist, Cloudy",0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,546,2,17996054
186,2011-07-05,fall,2011,July,non holiday,tuesday,working day,"Clear, Partly cloudy",0.746667,0.696338,0.590417,0.126258,1031,3634,4665,545,1,16952610
187,2011-07-06,fall,2011,July,non holiday,wednesday,working day,"Clear, Partly cloudy",0.72,0.685633,0.743333,0.149883,784,3845,4629,544,1,17798505
188,2011-07-07,fall,2011,July,non holiday,thursday,working day,"Clear, Partly cloudy",0.75,0.686871,0.65125,0.1592,754,3838,4592,543,1,17624096
189,2011-07-08,fall,2011,July,non holiday,friday,working day,"Mist, Cloudy",0.709167,0.670483,0.757917,0.225129,692,3348,4040,542,1,13525920
190,2011-07-09,fall,2011,July,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.733333,0.664158,0.609167,0.167912,1988,3348,5336,541,1,17864928
191,2011-07-10,fall,2011,July,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.7475,0.690025,0.578333,0.183471,1743,3138,4881,540,1,15316578
192,2011-07-11,fall,2011,July,non holiday,monday,working day,"Clear, Partly cloudy",0.7625,0.729804,0.635833,0.282337,723,3363,4086,539,1,13741218
193,2011-07-12,fall,2011,July,non holiday,tuesday,working day,"Clear, Partly cloudy",0.794167,0.739275,0.559167,0.200254,662,3596,4258,538,1,15311768
194,2011-07-13,fall,2011,July,non holiday,wednesday,working day,"Clear, Partly cloudy",0.746667,0.689404,0.631667,0.146133,748,3594,4342,537,1,15605148
195,2011-07-14,fall,2011,July,non holiday,thursday,working day,"Clear, Partly cloudy",0.680833,0.635104,0.47625,0.240667,888,4196,5084,536,1,21332464
196,2011-07-15,fall,2011,July,non holiday,friday,working day,"Clear, Partly cloudy",0.663333,0.624371,0.59125,0.182833,1318,4220,5538,535,1,23370360
197,2011-07-16,fall,2011,July,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.686667,0.638263,0.585,0.208342,2418,3505,5923,534,1,20760115
198,2011-07-17,fall,2011,July,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.719167,0.669833,0.604167,0.245033,2006,3296,5302,533,1,17475392
199,2011-07-18,fall,2011,July,non holiday,monday,working day,"Clear, Partly cloudy",0.746667,0.703925,0.65125,0.215804,841,3617,4458,532,1,16124586
200,2011-07-19,fall,2011,July,non holiday,tuesday,working day,"Clear, Partly cloudy",0.776667,0.747479,0.650417,0.1306,752,3789,4541,531,1,17205849
201,2011-07-20,fall,2011,July,non holiday,wednesday,working day,"Clear, Partly cloudy",0.768333,0.74685,0.707083,0.113817,644,3688,4332,530,1,15976416
202,2011-07-21,fall,2011,July,non holiday,thursday,working day,"Mist, Cloudy",0.815,0.826371,0.69125,0.222021,632,3152,3784,529,2,11927168
203,2011-07-22,fall,2011,July,non holiday,friday,working day,"Clear, Partly cloudy",0.848333,0.840896,0.580417,0.1331,562,2825,3387,528,1,9568275
204,2011-07-23,fall,2011,July,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.849167,0.804287,0.5,0.131221,987,2298,3285,527,1,7548930
205,2011-07-24,fall,2011,July,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.83,0.794829,0.550833,0.169171,1050,2556,3606,526,1,9216936
206,2011-07-25,fall,2011,July,non holiday,monday,working day,"Clear, Partly cloudy",0.743333,0.720958,0.757083,0.0908083,568,3272,3840,525,1,12564480
207,2011-07-26,fall,2011,July,non holiday,tuesday,working day,"Clear, Partly cloudy",0.771667,0.696979,0.540833,0.200258,750,3840,4590,524,1,17625600
208,2011-07-27,fall,2011,July,non holiday,wednesday,working day,"Clear, Partly cloudy",0.775,0.690667,0.402917,0.183463,755,3901,4656,523,1,18163056
209,2011-07-28,fall,2011,July,non holiday,thursday,working day,"Clear, Partly cloudy",0.779167,0.7399,0.583333,0.178479,606,3784,4390,522,1,16611760
210,2011-07-29,fall,2011,July,non holiday,friday,working day,"Clear, Partly cloudy",0.838333,0.785967,0.5425,0.174138,670,3176,3846,521,1,12214896
211,2011-07-30,fall,2011,July,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.804167,0.728537,0.465833,0.168537,1559,2916,4475,520,1,13049100
212,2011-07-31,fall,2011,July,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.805833,0.729796,0.480833,0.164813,1524,2778,4302,519,1,11950956
213,2011-08-01,fall,2011,August,non holiday,monday,working day,"Clear, Partly cloudy",0.771667,0.703292,0.550833,0.156717,729,3537,4266,518,1,15088842
214,2011-08-02,fall,2011,August,non holiday,tuesday,working day,"Clear, Partly cloudy",0.783333,0.707071,0.49125,0.20585,801,4044,4845,517,1,19593180
215,2011-08-03,fall,2011,August,non holiday,wednesday,working day,"Mist, Cloudy",0.731667,0.679937,0.6575,0.135583,467,3107,3574,516,1,11104418
216,2011-08-04,fall,2011,August,non holiday,thursday,working day,"Mist, Cloudy",0.71,0.664788,0.7575,0.19715,799,3777,4576,515,1,17283552
217,2011-08-05,fall,2011,August,non holiday,friday,working day,"Clear, Partly cloudy",0.710833,0.656567,0.630833,0.184696,1023,3843,4866,514,1,18700038
218,2011-08-06,fall,2011,August,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.716667,0.676154,0.755,0.22825,1521,2773,4294,513,1,11907262
219,2011-08-07,fall,2011,August,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.7425,0.715292,0.752917,0.201487,1298,2487,3785,512,1,9413295
220,2011-08-08,fall,2011,August,non holiday,monday,working day,"Clear, Partly cloudy",0.765,0.703283,0.592083,0.192175,846,3480,4326,511,1,15054480
221,2011-08-09,fall,2011,August,non holiday,tuesday,working day,"Clear, Partly cloudy",0.775,0.724121,0.570417,0.151121,907,3695,4602,510,1,17004390
222,2011-08-10,fall,2011,August,non holiday,wednesday,working day,"Clear, Partly cloudy",0.766667,0.684983,0.424167,0.200258,884,3896,4780,509,1,18622880
223,2011-08-11,fall,2011,August,non holiday,thursday,working day,"Clear, Partly cloudy",0.7175,0.651521,0.42375,0.164796,812,3980,4792,508,1,19072160
224,2011-08-12,fall,2011,August,non holiday,friday,working day,"Clear, Partly cloudy",0.708333,0.654042,0.415,0.125621,1051,3854,4905,507,1,18903870
225,2011-08-13,fall,2011,August,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.685833,0.645858,0.729583,0.211454,1504,2646,4150,506,1,10980900
226,2011-08-14,fall,2011,August,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.676667,0.624388,0.8175,0.222633,1338,2482,3820,505,1,9481240
227,2011-08-15,fall,2011,August,non holiday,monday,working day,"Clear, Partly cloudy",0.665833,0.616167,0.712083,0.208954,775,3563,4338,504,1,15456294
228,2011-08-16,fall,2011,August,non holiday,tuesday,working day,"Clear, Partly cloudy",0.700833,0.645837,0.578333,0.236329,721,4004,4725,503,1,18918900
229,2011-08-17,fall,2011,August,non holiday,wednesday,working day,"Clear, Partly cloudy",0.723333,0.666671,0.575417,0.143667,668,4026,4694,502,1,18898044
230,2011-08-18,fall,2011,August,non holiday,thursday,working day,"Clear, Partly cloudy",0.711667,0.662258,0.654583,0.233208,639,3166,3805,501,1,12046630
231,2011-08-19,fall,2011,August,non holiday,friday,working day,"Mist, Cloudy",0.685,0.633221,0.722917,0.139308,797,3356,4153,500,1,13937468
232,2011-08-20,fall,2011,August,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.6975,0.648996,0.674167,0.104467,1914,3277,5191,499,2,17010907
233,2011-08-21,fall,2011,August,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.710833,0.675525,0.77,0.248754,1249,2624,3873,498,1,10162752
234,2011-08-22,fall,2011,August,non holiday,monday,working day,"Clear, Partly cloudy",0.691667,0.638254,0.47,0.27675,833,3925,4758,497,2,18675150
235,2011-08-23,fall,2011,August,non holiday,tuesday,working day,"Clear, Partly cloudy",0.640833,0.606067,0.455417,0.146763,1281,4614,5895,496,1,27199530
236,2011-08-24,fall,2011,August,non holiday,wednesday,working day,"Clear, Partly cloudy",0.673333,0.630692,0.605,0.253108,949,4181,5130,495,1,21448530
237,2011-08-25,fall,2011,August,non holiday,thursday,working day,"Mist, Cloudy",0.684167,0.645854,0.771667,0.210833,435,3107,3542,494,1,11004994
238,2011-08-26,fall,2011,August,non holiday,friday,working day,"Clear, Partly cloudy",0.7,0.659733,0.76125,0.0839625,768,3893,4661,493,1,18145273
239,2011-08-27,fall,2011,August,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.68,0.635556,0.85,0.375617,226,889,1115,492,1,991235
240,2011-08-28,fall,2011,August,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.707059,0.647959,0.561765,0.304659,1415,2919,4334,491,1,12650946
241,2011-08-29,fall,2011,August,non holiday,monday,working day,"Clear, Partly cloudy",0.636667,0.607958,0.554583,0.159825,729,3905,4634,490,1,18095770
242,2011-08-30,fall,2011,August,non holiday,tuesday,working day,"Clear, Partly cloudy",0.639167,0.594704,0.548333,0.125008,775,4429,5204,489,1,23048516
243,2011-08-31,fall,2011,August,non holiday,wednesday,working day,"Clear, Partly cloudy",0.656667,0.611121,0.597917,0.0833333,688,4370,5058,488,1,22103460
244,2011-09-01,fall,2011,September,non holiday,thursday,working day,"Clear, Partly cloudy",0.655,0.614921,0.639167,0.141796,783,4332,5115,487,2,22158180
245,2011-09-02,fall,2011,September,non holiday,friday,working day,"Mist, Cloudy",0.643333,0.604808,0.727083,0.139929,875,3852,4727,486,1,18208404
246,2011-09-03,fall,2011,September,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.669167,0.633213,0.716667,0.185325,1935,2549,4484,485,1,11429716
247,2011-09-04,fall,2011,September,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.709167,0.665429,0.742083,0.206467,2521,2419,4940,484,1,11949860
248,2011-09-05,fall,2011,September,holiday,monday,weekend/holiday,"Mist, Cloudy",0.673333,0.625646,0.790417,0.212696,1236,2115,3351,483,2,7087365
249,2011-09-06,fall,2011,September,non holiday,tuesday,working day,"Light Snow, Light Rain",0.54,0.5152,0.886957,0.343943,204,2506,2710,482,1,6791260
250,2011-09-07,fall,2011,September,non holiday,wednesday,working day,"Light Snow, Light Rain",0.599167,0.544229,0.917083,0.0970208,118,1878,1996,481,1,3748488
251,2011-09-08,fall,2011,September,non holiday,thursday,working day,"Light Snow, Light Rain",0.633913,0.555361,0.939565,0.192748,153,1689,1842,480,1,3111138
252,2011-09-09,fall,2011,September,non holiday,friday,working day,"Mist, Cloudy",0.65,0.578946,0.897917,0.124379,417,3127,3544,479,1,11082088
253,2011-09-10,fall,2011,September,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.66,0.607962,0.75375,0.153608,1750,3595,5345,478,1,19215275
254,2011-09-11,fall,2011,September,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.653333,0.609229,0.71375,0.115054,1633,3413,5046,477,1,17221998
255,2011-09-12,fall,2011,September,non holiday,monday,working day,"Clear, Partly cloudy",0.644348,0.60213,0.692174,0.088913,690,4023,4713,476,1,18960399
256,2011-09-13,fall,2011,September,non holiday,tuesday,working day,"Clear, Partly cloudy",0.650833,0.603554,0.7125,0.141804,701,4062,4763,475,1,19347306
257,2011-09-14,fall,2011,September,non holiday,wednesday,working day,"Clear, Partly cloudy",0.673333,0.6269,0.697083,0.1673,647,4138,4785,474,1,19800330
258,2011-09-15,fall,2011,September,non holiday,thursday,working day,"Mist, Cloudy",0.5775,0.553671,0.709167,0.271146,428,3231,3659,473,1,11822229
259,2011-09-16,fall,2011,September,non holiday,friday,working day,"Mist, Cloudy",0.469167,0.461475,0.590417,0.164183,742,4018,4760,472,1,19125680
260,2011-09-17,fall,2011,September,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.491667,0.478512,0.718333,0.189675,1434,3077,4511,471,1,13880347
261,2011-09-18,fall,2011,September,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.5075,0.490537,0.695,0.178483,1353,2921,4274,470,2,12484354
262,2011-09-19,fall,2011,September,non holiday,monday,working day,"Mist, Cloudy",0.549167,0.529675,0.69,0.151742,691,3848,4539,469,1,17466072
263,2011-09-20,fall,2011,September,non holiday,tuesday,working day,"Mist, Cloudy",0.561667,0.532217,0.88125,0.134954,438,3203,3641,468,1,11662123
264,2011-09-21,fall,2011,September,non holiday,wednesday,working day,"Mist, Cloudy",0.595,0.550533,0.9,0.0964042,539,3813,4352,467,1,16594176
265,2011-09-22,fall,2011,September,non holiday,thursday,working day,"Mist, Cloudy",0.628333,0.554963,0.902083,0.128125,555,4240,4795,466,1,20330800
266,2011-09-23,winter,2011,September,non holiday,friday,working day,"Mist, Cloudy",0.609167,0.522125,0.9725,0.0783667,258,2137,2395,465,1,5118115
267,2011-09-24,winter,2011,September,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,464,1,19777681
268,2011-09-25,winter,2011,September,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.634167,0.572637,0.845,0.0503792,1544,3466,5010,463,1,17364660
269,2011-09-26,winter,2011,September,non holiday,monday,working day,"Mist, Cloudy",0.649167,0.589042,0.848333,0.1107,684,3946,4630,462,1,18269980
270,2011-09-27,winter,2011,September,non holiday,tuesday,working day,"Mist, Cloudy",0.636667,0.574525,0.885417,0.118171,477,3643,4120,461,1,15009160
271,2011-09-28,winter,2011,September,non holiday,wednesday,working day,"Mist, Cloudy",0.635,0.575158,0.84875,0.148629,480,3427,3907,460,1,13389289
272,2011-09-29,winter,2011,September,non holiday,thursday,working day,"Clear, Partly cloudy",0.616667,0.574512,0.699167,0.172883,653,4186,4839,459,1,20256054
273,2011-09-30,winter,2011,September,non holiday,friday,working day,"Clear, Partly cloudy",0.564167,0.544829,0.6475,0.206475,830,4372,5202,458,2,22743144
274,2011-10-01,winter,2011,October,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.41,0.412863,0.75375,0.292296,480,1949,2429,457,1,4734121
275,2011-10-02,winter,2011,October,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.356667,0.345317,0.791667,0.222013,616,2302,2918,456,1,6717236
276,2011-10-03,winter,2011,October,non holiday,monday,working day,"Mist, Cloudy",0.384167,0.392046,0.760833,0.0833458,330,3240,3570,455,1,11566800
277,2011-10-04,winter,2011,October,non holiday,tuesday,working day,"Clear, Partly cloudy",0.484167,0.472858,0.71,0.205854,486,3970,4456,454,1,17690320
278,2011-10-05,winter,2011,October,non holiday,wednesday,working day,"Clear, Partly cloudy",0.538333,0.527138,0.647917,0.17725,559,4267,4826,453,1,20592542
279,2011-10-06,winter,2011,October,non holiday,thursday,working day,"Clear, Partly cloudy",0.494167,0.480425,0.620833,0.134954,639,4126,4765,452,1,19660390
280,2011-10-07,winter,2011,October,non holiday,friday,working day,"Clear, Partly cloudy",0.510833,0.504404,0.684167,0.0223917,949,4036,4985,451,1,20119460
281,2011-10-08,winter,2011,October,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,450,2,17168166
282,2011-10-09,winter,2011,October,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.540833,0.523983,0.7275,0.06345,2397,3114,5511,449,1,17161254
283,2011-10-10,winter,2011,October,holiday,monday,weekend/holiday,"Clear, Partly cloudy",0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,448,1,18436551
284,2011-10-11,winter,2011,October,non holiday,tuesday,working day,"Mist, Cloudy",0.566667,0.546096,0.80875,0.143042,667,3896,4563,447,1,17777448
285,2011-10-12,winter,2011,October,non holiday,wednesday,working day,"Light Snow, Light Rain",0.543333,0.517717,0.90625,0.24815,217,2199,2416,446,1,5312784
286,2011-10-13,winter,2011,October,non holiday,thursday,working day,"Mist, Cloudy",0.589167,0.551804,0.896667,0.141787,290,2623,2913,445,1,7640799
287,2011-10-14,winter,2011,October,non holiday,friday,working day,"Mist, Cloudy",0.550833,0.529675,0.71625,0.223883,529,3115,3644,444,1,11351060
288,2011-10-15,winter,2011,October,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.506667,0.498725,0.483333,0.258083,1899,3318,5217,443,1,17310006
289,2011-10-16,winter,2011,October,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.511667,0.503154,0.486667,0.281717,1748,3293,5041,442,1,16600013
290,2011-10-17,winter,2011,October,non holiday,monday,working day,"Clear, Partly cloudy",0.534167,0.510725,0.579583,0.175379,713,3857,4570,441,1,17626490
291,2011-10-18,winter,2011,October,non holiday,tuesday,working day,"Mist, Cloudy",0.5325,0.522721,0.701667,0.110087,637,4111,4748,440,1,19519028
292,2011-10-19,winter,2011,October,non holiday,wednesday,working day,"Light Snow, Light Rain",0.541739,0.513848,0.895217,0.243339,254,2170,2424,439,2,5260080
293,2011-10-20,winter,2011,October,non holiday,thursday,working day,"Clear, Partly cloudy",0.475833,0.466525,0.63625,0.422275,471,3724,4195,438,2,15622180
294,2011-10-21,winter,2011,October,non holiday,friday,working day,"Clear, Partly cloudy",0.4275,0.423596,0.574167,0.221396,676,3628,4304,437,1,15614912
295,2011-10-22,winter,2011,October,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,436,1,12101172
296,2011-10-23,winter,2011,October,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,435,1,12100322
297,2011-10-24,winter,2011,October,non holiday,monday,working day,"Clear, Partly cloudy",0.463333,0.457067,0.772083,0.118792,699,3488,4187,434,1,14604256
298,2011-10-25,winter,2011,October,non holiday,tuesday,working day,"Clear, Partly cloudy",0.471667,0.463375,0.622917,0.166658,695,3992,4687,433,1,18710504
299,2011-10-26,winter,2011,October,non holiday,wednesday,working day,"Mist, Cloudy",0.484167,0.472846,0.720417,0.148642,404,3490,3894,432,1,13590060
300,2011-10-27,winter,2011,October,non holiday,thursday,working day,"Mist, Cloudy",0.47,0.457046,0.812917,0.197763,240,2419,2659,431,1,6432121
301,2011-10-28,winter,2011,October,non holiday,friday,working day,"Mist, Cloudy",0.330833,0.318812,0.585833,0.229479,456,3291,3747,430,1,12331377
302,2011-10-29,winter,2011,October,non holiday,saturday,weekend/holiday,"Light Snow, Light Rain",0.254167,0.227913,0.8825,0.351371,57,570,627,429,1,357390
303,2011-10-30,winter,2011,October,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.319167,0.321329,0.62375,0.176617,885,2446,3331,428,1,8147626
304,2011-10-31,winter,2011,October,non holiday,monday,working day,"Clear, Partly cloudy",0.34,0.356063,0.703333,0.10635,362,3307,3669,427,1,12133383
305,2011-11-01,winter,2011,November,non holiday,tuesday,working day,"Clear, Partly cloudy",0.400833,0.397088,0.68375,0.135571,410,3658,4068,426,1,14880744
306,2011-11-02,winter,2011,November,non holiday,wednesday,working day,"Clear, Partly cloudy",0.3775,0.390133,0.71875,0.0820917,370,3816,4186,425,1,15973776
307,2011-11-03,winter,2011,November,non holiday,thursday,working day,"Clear, Partly cloudy",0.408333,0.405921,0.702083,0.136817,318,3656,3974,424,2,14528944
308,2011-11-04,winter,2011,November,non holiday,friday,working day,"Mist, Cloudy",0.403333,0.403392,0.6225,0.271779,470,3576,4046,423,1,14468496
309,2011-11-05,winter,2011,November,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.326667,0.323854,0.519167,0.189062,1156,2770,3926,422,1,10875020
310,2011-11-06,winter,2011,November,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.348333,0.362358,0.734583,0.0920542,952,2697,3649,421,1,9841353
311,2011-11-07,winter,2011,November,non holiday,monday,working day,"Clear, Partly cloudy",0.395,0.400871,0.75875,0.057225,373,3662,4035,420,1,14776170
312,2011-11-08,winter,2011,November,non holiday,tuesday,working day,"Clear, Partly cloudy",0.408333,0.412246,0.721667,0.0690375,376,3829,4205,419,1,16100945
313,2011-11-09,winter,2011,November,non holiday,wednesday,working day,"Clear, Partly cloudy",0.4,0.409079,0.758333,0.0621958,305,3804,4109,418,1,15630636
314,2011-11-10,winter,2011,November,non holiday,thursday,working day,"Mist, Cloudy",0.38,0.373721,0.813333,0.189067,190,2743,2933,417,1,8045219
315,2011-11-11,winter,2011,November,holiday,friday,weekend/holiday,"Clear, Partly cloudy",0.324167,0.306817,0.44625,0.314675,440,2928,3368,416,1,9861504
316,2011-11-12,winter,2011,November,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.356667,0.357942,0.552917,0.212062,1275,2792,4067,415,1,11355064
317,2011-11-13,winter,2011,November,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.440833,0.43055,0.458333,0.281721,1004,2713,3717,414,1,10084221
318,2011-11-14,winter,2011,November,non holiday,monday,working day,"Clear, Partly cloudy",0.53,0.524612,0.587083,0.306596,595,3891,4486,413,1,17455026
319,2011-11-15,winter,2011,November,non holiday,tuesday,working day,"Mist, Cloudy",0.53,0.507579,0.68875,0.199633,449,3746,4195,412,2,15714470
320,2011-11-16,winter,2011,November,non holiday,wednesday,working day,"Light Snow, Light Rain",0.456667,0.451988,0.93,0.136829,145,1672,1817,411,1,3038024
321,2011-11-17,winter,2011,November,non holiday,thursday,working day,"Mist, Cloudy",0.341667,0.323221,0.575833,0.305362,139,2914,3053,410,1,8896442
322,2011-11-18,winter,2011,November,non holiday,friday,working day,"Clear, Partly cloudy",0.274167,0.272721,0.41,0.168533,245,3147,3392,409,1,10674624
323,2011-11-19,winter,2011,November,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.329167,0.324483,0.502083,0.224496,943,2720,3663,408,1,9963360
324,2011-11-20,winter,2011,November,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.463333,0.457058,0.684583,0.18595,787,2733,3520,407,1,9620160
325,2011-11-21,winter,2011,November,non holiday,monday,working day,"Light Snow, Light Rain",0.4475,0.445062,0.91,0.138054,220,2545,2765,406,1,7036925
326,2011-11-22,winter,2011,November,non holiday,tuesday,working day,"Light Snow, Light Rain",0.416667,0.421696,0.9625,0.118792,69,1538,1607,405,1,2471566
327,2011-11-23,winter,2011,November,non holiday,wednesday,working day,"Mist, Cloudy",0.440833,0.430537,0.757917,0.335825,112,2454,2566,404,1,6296964
328,2011-11-24,winter,2011,November,holiday,thursday,weekend/holiday,"Clear, Partly cloudy",0.373333,0.372471,0.549167,0.167304,560,935,1495,403,1,1397825
329,2011-11-25,winter,2011,November,non holiday,friday,working day,"Clear, Partly cloudy",0.375,0.380671,0.64375,0.0988958,1095,1697,2792,402,1,4738024
330,2011-11-26,winter,2011,November,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.375833,0.385087,0.681667,0.0684208,1249,1819,3068,401,2,5580692
331,2011-11-27,winter,2011,November,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.459167,0.4558,0.698333,0.208954,810,2261,3071,400,1,6943531
332,2011-11-28,winter,2011,November,non holiday,monday,working day,"Clear, Partly cloudy",0.503478,0.490122,0.743043,0.142122,253,3614,3867,399,1,13975338
333,2011-11-29,winter,2011,November,non holiday,tuesday,working day,"Mist, Cloudy",0.458333,0.451375,0.830833,0.258092,96,2818,2914,398,1,8211652
334,2011-11-30,winter,2011,November,non holiday,wednesday,working day,"Clear, Partly cloudy",0.325,0.311221,0.613333,0.271158,188,3425,3613,397,1,12374525
335,2011-12-01,winter,2011,December,non holiday,thursday,working day,"Clear, Partly cloudy",0.3125,0.305554,0.524583,0.220158,182,3545,3727,396,1,13212215
336,2011-12-02,winter,2011,December,non holiday,friday,working day,"Clear, Partly cloudy",0.314167,0.331433,0.625833,0.100754,268,3672,3940,395,1,14467680
337,2011-12-03,winter,2011,December,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.299167,0.310604,0.612917,0.0957833,706,2908,3614,394,1,10509512
338,2011-12-04,winter,2011,December,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.330833,0.3491,0.775833,0.0839583,634,2851,3485,393,1,9935735
339,2011-12-05,winter,2011,December,non holiday,monday,working day,"Mist, Cloudy",0.385833,0.393925,0.827083,0.0622083,233,3578,3811,392,1,13635758
340,2011-12-06,winter,2011,December,non holiday,tuesday,working day,"Light Snow, Light Rain",0.4625,0.4564,0.949583,0.232583,126,2468,2594,391,1,6401992
341,2011-12-07,winter,2011,December,non holiday,wednesday,working day,"Light Snow, Light Rain",0.41,0.400246,0.970417,0.266175,50,655,705,390,1,461775
342,2011-12-08,winter,2011,December,non holiday,thursday,working day,"Clear, Partly cloudy",0.265833,0.256938,0.58,0.240058,150,3172,3322,389,1,10537384
343,2011-12-09,winter,2011,December,non holiday,friday,working day,"Clear, Partly cloudy",0.290833,0.317542,0.695833,0.0827167,261,3359,3620,388,1,12159580
344,2011-12-10,winter,2011,December,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.275,0.266412,0.5075,0.233221,502,2688,3190,387,1,8574720
345,2011-12-11,winter,2011,December,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.220833,0.253154,0.49,0.0665417,377,2366,2743,386,1,6489938
346,2011-12-12,winter,2011,December,non holiday,monday,working day,"Clear, Partly cloudy",0.238333,0.270196,0.670833,0.06345,143,3167,3310,385,1,10482770
347,2011-12-13,winter,2011,December,non holiday,tuesday,working day,"Clear, Partly cloudy",0.2825,0.301138,0.59,0.14055,155,3368,3523,384,1,11865464
348,2011-12-14,winter,2011,December,non holiday,wednesday,working day,"Mist, Cloudy",0.3175,0.338362,0.66375,0.0609583,178,3562,3740,383,1,13321880
349,2011-12-15,winter,2011,December,non holiday,thursday,working day,"Mist, Cloudy",0.4225,0.412237,0.634167,0.268042,181,3528,3709,382,1,13085352
350,2011-12-16,winter,2011,December,non holiday,friday,working day,"Mist, Cloudy",0.375,0.359825,0.500417,0.260575,178,3399,3577,381,1,12158223
351,2011-12-17,winter,2011,December,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.258333,0.249371,0.560833,0.243167,275,2464,2739,380,1,6748896
352,2011-12-18,winter,2011,December,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.238333,0.245579,0.58625,0.169779,220,2211,2431,379,1,5374941
